fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n_lt_5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,data_year,county_name,fips_full,naics_level,naics_prefix,qp1_usd,ap_usd,emp_noise_label,qp1_noise_label,ap_noise_label
48,201,22----,H,18687,H,991924,H,2722048,366,164.0,43.0,38.0,53.0,31.0,20.0,11.0,4.0,,,,,,2023,"Harris County, TX",48201,2-digit,22,991924000,2722048000,medium,medium,medium
48,201,221///,H,18687,H,991924,H,2722048,366,164.0,43.0,38.0,53.0,31.0,20.0,11.0,4.0,,,,,,2023,"Harris County, TX",48201,3-digit,221,991924000,2722048000,medium,medium,medium
48,201,2211//,H,10768,H,548523,H,1547602,196,97.0,13.0,20.0,30.0,15.0,10.0,7.0,3.0,,,,,,2023,"Harris County, TX",48201,4-digit,2211,548523000,1547602000,medium,medium,medium
48,201,22111/,H,3923,H,229777,H,673481,104,53.0,6.0,12.0,15.0,10.0,,5.0,,,,,,,2023,"Harris County, TX",48201,5-digit,22111,229777000,673481000,medium,medium,medium
48,201,221112,G,2116,H,161517,H,401606,62,33.0,3.0,8.0,9.0,5.0,,4.0,,,,,,,2023,"Harris County, TX",48201,6-digit,221112,161517000,401606000,low,medium,medium
48,201,221114,H,822,H,25320,G,102596,14,5.0,,,3.0,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,221114,25320000,102596000,medium,medium,low
48,201,221115,H,906,H,40116,H,154807,18,7.0,,3.0,,3.0,,,,,,,,,2023,"Harris County, TX",48201,6-digit,221115,40116000,154807000,medium,medium,medium
48,201,221118,J,10,H,623,H,1796,3,3.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,221118,623000,1796000,high,medium,medium
48,201,22112/,J,6845,H,318746,H,874121,92,44.0,7.0,8.0,15.0,5.0,8.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,22112,318746000,874121000,high,medium,medium
48,201,221121,J,30,J,1422,J,3285,12,11.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,221121,1422000,3285000,high,high,high
48,201,221122,J,6815,H,317324,H,870836,80,33.0,7.0,7.0,15.0,5.0,8.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,221122,317324000,870836000,high,medium,medium
48,201,2212//,J,6171,J,395737,J,1005175,74,22.0,6.0,10.0,12.0,11.0,8.0,3.0,,,,,,,2023,"Harris County, TX",48201,4-digit,2212,395737000,1005175000,high,high,high
48,201,22121/,J,6171,J,395737,J,1005175,74,22.0,6.0,10.0,12.0,11.0,8.0,3.0,,,,,,,2023,"Harris County, TX",48201,5-digit,22121,395737000,1005175000,high,high,high
48,201,221210,J,6171,J,395737,J,1005175,74,22.0,6.0,10.0,12.0,11.0,8.0,3.0,,,,,,,2023,"Harris County, TX",48201,6-digit,221210,395737000,1005175000,high,high,high
48,201,2213//,H,1748,H,47664,H,169271,96,45.0,24.0,8.0,11.0,5.0,,,,,,,,,2023,"Harris County, TX",48201,4-digit,2213,47664000,169271000,medium,medium,medium
48,201,22131/,H,1376,H,39420,H,135483,72,34.0,20.0,5.0,8.0,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,22131,39420000,135483000,medium,medium,medium
48,201,221310,H,1376,H,39420,H,135483,72,34.0,20.0,5.0,8.0,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,221310,39420000,135483000,medium,medium,medium
48,201,22132/,H,164,H,2180,H,9339,19,11.0,3.0,,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,22132,2180000,9339000,medium,medium,medium
48,201,221320,H,164,H,2180,H,9339,19,11.0,3.0,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,221320,2180000,9339000,medium,medium,medium
48,201,22133/,G,208,G,6064,G,24449,5,,,,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,22133,6064000,24449000,low,low,low
48,201,221330,G,208,G,6064,G,24449,5,,,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,221330,6064000,24449000,low,low,low
48,201,23----,G,166110,G,3276700,G,13328731,7718,4427.0,1162.0,812.0,699.0,306.0,200.0,71.0,26.0,15.0,9.0,4.0,,,2023,"Harris County, TX",48201,2-digit,23,3276700000,13328731000,low,low,low
48,201,236///,G,27129,G,649694,G,2596918,2395,1690.0,297.0,176.0,133.0,55.0,30.0,8.0,4.0,,,,,,2023,"Harris County, TX",48201,3-digit,236,649694000,2596918000,low,low,low
48,201,2361//,G,12038,G,340355,G,1235625,1674,1329.0,175.0,83.0,45.0,23.0,15.0,,,,,,,,2023,"Harris County, TX",48201,4-digit,2361,340355000,1235625000,low,low,low
48,201,23611/,G,12038,G,340355,G,1235625,1674,1329.0,175.0,83.0,45.0,23.0,15.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23611,340355000,1235625000,low,low,low
48,201,236115,H,2720,G,50714,G,199233,574,471.0,57.0,29.0,11.0,3.0,,,,,,,,,2023,"Harris County, TX",48201,6-digit,236115,50714000,199233000,medium,low,low
48,201,236116,G,1552,G,42718,G,185482,60,29.0,10.0,6.0,10.0,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,236116,42718000,185482000,low,low,low
48,201,236117,G,4287,G,196351,G,637615,155,94.0,20.0,10.0,8.0,12.0,10.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,236117,196351000,637615000,low,low,low
48,201,236118,H,3479,G,50572,G,213295,885,735.0,88.0,38.0,16.0,6.0,,,,,,,,,2023,"Harris County, TX",48201,6-digit,236118,50572000,213295000,medium,low,low
48,201,2362//,G,15091,G,309339,G,1361293,721,361.0,122.0,93.0,88.0,32.0,15.0,6.0,3.0,,,,,,2023,"Harris County, TX",48201,4-digit,2362,309339000,1361293000,low,low,low
48,201,23621/,H,3298,H,53747,H,275016,72,30.0,17.0,9.0,6.0,5.0,,,,,,,,,2023,"Harris County, TX",48201,5-digit,23621,53747000,275016000,medium,medium,medium
48,201,236210,H,3298,H,53747,H,275016,72,30.0,17.0,9.0,6.0,5.0,,,,,,,,,2023,"Harris County, TX",48201,6-digit,236210,53747000,275016000,medium,medium,medium
48,201,23622/,G,11793,G,255592,G,1086277,649,331.0,105.0,84.0,82.0,27.0,14.0,4.0,,,,,,,2023,"Harris County, TX",48201,5-digit,23622,255592000,1086277000,low,low,low
48,201,236220,G,11793,G,255592,G,1086277,649,331.0,105.0,84.0,82.0,27.0,14.0,4.0,,,,,,,2023,"Harris County, TX",48201,6-digit,236220,255592000,1086277000,low,low,low
48,201,237///,G,45091,G,1003600,G,3956788,595,211.0,81.0,83.0,83.0,52.0,42.0,25.0,8.0,10.0,6.0,3.0,,,2023,"Harris County, TX",48201,3-digit,237,1003600000,3956788000,low,low,low
48,201,2371//,G,35116,G,816983,G,3216924,361,118.0,43.0,59.0,50.0,28.0,28.0,19.0,7.0,9.0,6.0,,,,2023,"Harris County, TX",48201,4-digit,2371,816983000,3216924000,low,low,low
48,201,23711/,G,3922,G,60595,G,245517,134,42.0,22.0,26.0,22.0,11.0,10.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23711,60595000,245517000,low,low,low
48,201,237110,G,3922,G,60595,G,245517,134,42.0,22.0,26.0,22.0,11.0,10.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,237110,60595000,245517000,low,low,low
48,201,23712/,G,20066,G,471150,G,1906699,116,28.0,11.0,15.0,14.0,10.0,13.0,16.0,3.0,6.0,5.0,,,,2023,"Harris County, TX",48201,5-digit,23712,471150000,1906699000,low,low,low
48,201,237120,G,20066,G,471150,G,1906699,116,28.0,11.0,15.0,14.0,10.0,13.0,16.0,3.0,6.0,5.0,,,,2023,"Harris County, TX",48201,6-digit,237120,471150000,1906699000,low,low,low
48,201,23713/,H,11128,H,285238,H,1064708,111,48.0,10.0,18.0,14.0,7.0,5.0,,4.0,3.0,,,,,2023,"Harris County, TX",48201,5-digit,23713,285238000,1064708000,medium,medium,medium
48,201,237130,H,11128,H,285238,H,1064708,111,48.0,10.0,18.0,14.0,7.0,5.0,,4.0,3.0,,,,,2023,"Harris County, TX",48201,6-digit,237130,285238000,1064708000,medium,medium,medium
48,201,2372//,H,829,H,29167,H,99405,71,45.0,14.0,4.0,4.0,3.0,,,,,,,,,2023,"Harris County, TX",48201,4-digit,2372,29167000,99405000,medium,medium,medium
48,201,23721/,H,829,H,29167,H,99405,71,45.0,14.0,4.0,4.0,3.0,,,,,,,,,2023,"Harris County, TX",48201,5-digit,23721,29167000,99405000,medium,medium,medium
48,201,237210,H,829,H,29167,H,99405,71,45.0,14.0,4.0,4.0,3.0,,,,,,,,,2023,"Harris County, TX",48201,6-digit,237210,29167000,99405000,medium,medium,medium
48,201,2373//,G,7031,G,114827,G,462693,104,27.0,13.0,12.0,24.0,13.0,9.0,4.0,,,,,,,2023,"Harris County, TX",48201,4-digit,2373,114827000,462693000,low,low,low
48,201,23731/,G,7031,G,114827,G,462693,104,27.0,13.0,12.0,24.0,13.0,9.0,4.0,,,,,,,2023,"Harris County, TX",48201,5-digit,23731,114827000,462693000,low,low,low
48,201,237310,G,7031,G,114827,G,462693,104,27.0,13.0,12.0,24.0,13.0,9.0,4.0,,,,,,,2023,"Harris County, TX",48201,6-digit,237310,114827000,462693000,low,low,low
48,201,2379//,G,2115,G,42623,G,177766,59,21.0,11.0,8.0,5.0,8.0,5.0,,,,,,,,2023,"Harris County, TX",48201,4-digit,2379,42623000,177766000,low,low,low
48,201,23799/,G,2115,G,42623,G,177766,59,21.0,11.0,8.0,5.0,8.0,5.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23799,42623000,177766000,low,low,low
48,201,237990,G,2115,G,42623,G,177766,59,21.0,11.0,8.0,5.0,8.0,5.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,237990,42623000,177766000,low,low,low
48,201,238///,G,93890,G,1623406,G,6775025,4728,2526.0,784.0,553.0,483.0,199.0,128.0,38.0,14.0,3.0,,,,,2023,"Harris County, TX",48201,3-digit,238,1623406000,6775025000,low,low,low
48,201,2381//,G,22230,G,375223,G,1504730,1026,559.0,176.0,113.0,92.0,45.0,25.0,10.0,4.0,,,,,,2023,"Harris County, TX",48201,4-digit,2381,375223000,1504730000,low,low,low
48,201,23811/,G,7612,G,114350,G,474311,216,95.0,40.0,30.0,23.0,11.0,10.0,4.0,,,,,,,2023,"Harris County, TX",48201,5-digit,23811,114350000,474311000,low,low,low
48,201,238110,G,7612,G,114350,G,474311,216,95.0,40.0,30.0,23.0,11.0,10.0,4.0,,,,,,,2023,"Harris County, TX",48201,6-digit,238110,114350000,474311000,low,low,low
48,201,23812/,G,2551,G,36201,G,160097,70,23.0,9.0,15.0,12.0,5.0,4.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23812,36201000,160097000,low,low,low
